epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3305,0.80731,2.3334,1.35272,0.00333,1,0.85208,0.73096,0.35955,2.80566,1.11866,0.00026,0.00026,0.00026
2,19.1394,0.68347,1.28107,1.23808,1,0.37776,0.95056,0.55181,1.29977,2.52163,2.87855,0.000529308,0.000529308,0.000529308
3,22.6194,0.63794,1.01508,1.20849,0.98666,0.9,0.98591,0.83839,0.58255,1.63102,1.44744,0.000787528,0.000787528,0.000787528
4,26.2299,0.6849,0.99507,1.2216,0.90095,1,0.96773,0.67173,0.95536,2.10895,1.81168,0.00103466,0.00103466,0.00103466
5,29.4852,0.712,1.05976,1.2853,1,0.99841,0.995,0.82892,0.71049,1.77896,1.59341,0.0012707,0.0012707,0.0012707
6,32.7695,0.67775,1.02077,1.27032,0.85477,0.59001,0.74059,0.43735,1.43066,2.42326,2.35876,0.00149566,0.00149566,0.00149566
7,36.2386,0.73111,0.96263,1.26506,0.54551,0.8,0.63164,0.50295,0.84369,1.59742,1.65434,0.00170953,0.00170953,0.00170953
8,39.753,0.70187,0.90403,1.25145,0.99415,1,0.995,0.80225,0.78383,0.82348,1.87608,0.0017228,0.0017228,0.0017228
9,43.1785,0.66271,0.8645,1.21078,0.87687,1,0.995,0.83309,0.61635,1.28652,1.38005,0.0016832,0.0016832,0.0016832
10,46.6201,0.67726,0.82142,1.2477,0.74763,0.88956,0.8581,0.42487,1.13806,2.04074,1.88862,0.0016436,0.0016436,0.0016436
11,50.0891,0.63173,0.82518,1.18789,0.62359,1,0.80167,0.51615,1.23964,2.0088,1.96769,0.001604,0.001604,0.001604
12,53.7083,0.61517,0.77208,1.22619,0.97533,1,0.995,0.86338,0.65918,0.78906,1.44569,0.0015644,0.0015644,0.0015644
13,57.1492,0.6586,0.76387,1.21031,1,0.99491,0.995,0.8266,0.68964,1.04017,1.45304,0.0015248,0.0015248,0.0015248
14,60.5026,0.65673,0.78833,1.22489,0.99396,1,0.995,0.85942,0.62161,0.63858,1.46459,0.0014852,0.0014852,0.0014852
15,63.7636,0.62096,0.71702,1.19963,0.99439,1,0.995,0.86153,0.68471,0.67051,1.50577,0.0014456,0.0014456,0.0014456
